run_id,trial_id,scenario,name,timestamp,detail
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,health_before,2026-09-08T14:54:13.174927826Z,stable=true healthy=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,tasks_prepared,2026-09-08T14:54:13.482453109Z,tasks=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,derivative_deleted,2026-09-08T14:54:13.501843897Z,result=success
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,cold_checked,2026-09-08T14:54:13.515467163Z,missing=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,burst_ready,2026-09-08T14:54:13.515666285Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,burst_released,2026-09-08T14:54:13.515696712Z,start_channel=closed
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,burst_finished,2026-09-08T14:54:14.514292202Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,tasks_finished,2026-09-08T14:54:14.924219335Z,tasks=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,derivative_verified,2026-09-08T14:54:14.949564227Z,bytes=67940 webp=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,health_after,2026-09-08T14:54:15.18416624Z,stable=true healthy=4
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,trial_started,2026-09-08T14:54:15.200165539Z,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,health_before,2026-09-08T14:54:15.420962116Z,stable=true healthy=2
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,tasks_prepared,2026-09-08T14:54:15.524669804Z,tasks=2
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,derivative_deleted,2026-09-08T14:54:15.547911564Z,result=success
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,cold_checked,2026-09-08T14:54:15.560177763Z,missing=true
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,burst_ready,2026-09-08T14:54:15.560387451Z,requests=100
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,burst_released,2026-09-08T14:54:15.560401853Z,start_channel=closed
