run_id,trial_id,scenario,task_id,task_definition_family,task_definition_revision,availability_zone,launch_type,cpu_vcpu,memory_mib,image_digest,prepared_at,finished_at,first_request_at,last_request_at,image_requests,requests_inflight,derivative_get_hit,derivative_get_miss,derivative_get_error,derivative_get_bytes,original_get_count,original_get_success,original_get_error,original_get_bytes,transform_attempts,transform_success,transform_failure,transform_error,transform_timeout,transform_duration_nanos,transform_inflight,transform_max_inflight,coalesced_requests,publish_created,publish_existing,publish_conflict,publish_error,publish_attempt_bytes,coordinator_keys,coordinator_waiters,cpu_usage_nanos,peak_memory_bytes,resource_errors,resource_source,resource_sample_gap_ms
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,fdc782ff6e304ef5951f52985b40078d,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2a,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:13.481557969Z,2026-09-08T14:54:14.515343354Z,2026-09-08T14:54:13.516827043Z,2026-09-08T14:54:13.521771825Z,24,0,1,25,0,67940,1,1,0,4075024,1,1,0,0,0,829657487,0,1,23,0,1,0,0,67940,0,0,912789052,157691904,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2c,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:15.421612513Z,2026-09-08T14:54:16.639556674Z,2026-09-08T14:54:15.561035208Z,2026-09-08T14:54:15.572411269Z,49,0,0,50,0,0,1,1,0,4075024,1,1,0,0,0,801627838,0,1,48,1,0,0,0,67940,0,0,959325624,165109760,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r02,S4-AWS-2,ff455c38fa774b599d4847691b63c291,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2a,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:15.523730151Z,2026-09-08T14:54:16.84639719Z,2026-09-08T14:54:15.561543246Z,2026-09-08T14:54:15.574649846Z,51,0,1,52,0,67940,1,1,0,4075024,1,1,0,0,0,864519782,0,1,50,0,1,0,0,67940,0,0,1042292568,159580160,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r02,S4-AWS-1-CONTROL,19c7928974ed4166b254fcce1564422a,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2a,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:17.341025294Z,2026-09-08T14:54:18.545854135Z,2026-09-08T14:54:17.379919292Z,2026-09-08T14:54:17.41054154Z,100,0,0,101,0,0,1,1,0,4075024,1,1,0,0,0,805910847,0,1,99,1,0,0,0,67940,0,0,1106221901,166260736,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r03,S4-AWS-1-CONTROL,19c7928974ed4166b254fcce1564422a,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2a,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:19.005704121Z,2026-09-08T14:54:20.142831186Z,2026-09-08T14:54:19.046065962Z,2026-09-08T14:54:19.071341245Z,100,0,0,101,0,0,1,1,0,4075024,1,1,0,0,0,779049383,0,1,99,1,0,0,0,67940,0,0,1068951986,222601216,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2c,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:20.622333585Z,2026-09-08T14:54:21.830220614Z,2026-09-08T14:54:20.764529507Z,2026-09-08T14:54:20.774694785Z,51,0,1,52,0,67940,1,1,0,4075024,1,1,0,0,0,813380827,0,1,50,0,1,0,0,67940,0,0,989173663,218468352,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r03,S4-AWS-2,ff455c38fa774b599d4847691b63c291,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2a,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:20.725416997Z,2026-09-08T14:54:21.932054804Z,2026-09-08T14:54:20.765110218Z,2026-09-08T14:54:20.776923492Z,49,0,0,50,0,0,1,1,0,4075024,1,1,0,0,0,817518008,0,1,48,1,0,0,0,67940,0,0,959310742,216780800,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,050220889959489bb6e4f9bfb1fc0f12,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2c,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:22.640137682Z,2026-09-08T14:54:24.230184957Z,2026-09-08T14:54:22.793468887Z,2026-09-08T14:54:22.803869509Z,25,0,1,26,0,67940,1,1,0,4075024,1,1,0,0,0,801457551,0,1,24,0,1,0,0,67940,0,0,918513807,209473536,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,7d2442d248464707a35dc83c0a8489f6,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2c,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:22.745090129Z,2026-09-08T14:54:23.923604223Z,2026-09-08T14:54:22.793596374Z,2026-09-08T14:54:22.799335001Z,24,0,0,25,0,0,1,1,0,4075024,1,1,0,0,0,775700382,0,1,23,1,0,0,0,67940,0,0,863161869,210944000,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,b971842de91943808ec3bbb899e282d1,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2a,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:22.536122957Z,2026-09-08T14:54:23.821801978Z,2026-09-08T14:54:22.793611722Z,2026-09-08T14:54:22.799708765Z,25,0,1,26,0,67940,1,1,0,4075024,1,1,0,0,0,812792109,0,1,24,0,1,0,0,67940,0,0,905283022,206528512,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r03,S4-AWS-4,fdc782ff6e304ef5951f52985b40078d,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2a,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:22.433295745Z,2026-09-08T14:54:24.025769605Z,2026-09-08T14:54:22.788671476Z,2026-09-08T14:54:22.804832005Z,26,0,1,27,0,67940,1,1,0,4075024,1,1,0,0,0,811987772,0,1,25,0,1,0,0,67940,0,0,924065824,211873792,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,050220889959489bb6e4f9bfb1fc0f12,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2c,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:25.034469779Z,2026-09-08T14:54:26.168840135Z,2026-09-08T14:54:25.073633793Z,2026-09-08T14:54:25.090716113Z,25,0,1,26,0,67940,1,1,0,4075024,1,1,0,0,0,796217416,0,1,24,0,1,0,0,67940,0,0,891553587,240312320,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,7d2442d248464707a35dc83c0a8489f6,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2c,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:24.727770238Z,2026-09-08T14:54:26.270546232Z,2026-09-08T14:54:25.073659791Z,2026-09-08T14:54:25.078407986Z,25,0,0,26,0,0,1,1,0,4075024,1,1,0,0,0,762019533,0,1,24,1,0,0,0,67940,0,0,854320888,242176000,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,b971842de91943808ec3bbb899e282d1,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2a,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:24.932444008Z,2026-09-08T14:54:26.066983303Z,2026-09-08T14:54:25.074226869Z,2026-09-08T14:54:25.079199353Z,24,0,1,25,0,67940,1,1,0,4075024,1,1,0,0,0,806293557,0,1,23,0,1,0,0,67940,0,0,882404484,242991104,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r04,S4-AWS-4,fdc782ff6e304ef5951f52985b40078d,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2a,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:24.829912113Z,2026-09-08T14:54:26.372761879Z,2026-09-08T14:54:25.074319071Z,2026-09-08T14:54:25.091496668Z,26,0,1,27,0,67940,1,1,0,4075024,1,1,0,0,0,804776970,0,1,25,0,1,0,0,67940,0,0,909388383,214786048,0,cgroup-v1-container-visible,50.000000
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r04,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,content-serving-e1-s4-ad80a58dee-media,1,ap-northeast-2c,FARGATE,1.000000,2048,sha256:8d040bec83be619c647ea9b645eff965bceaae6100407cdaa719af050ba74ef8,2026-09-08T14:54:26.864184687Z,2026-09-08T14:54:28.218940882Z,2026-09-08T14:54:27.002459361Z,2026-09-08T14:54:27.012736712Z,49,0,0,50,0,0,1,1,0,4075024,1,1,0,0,0,812413369,0,1,48,1,0,0,0,67940,0,0,954448915,261627904,0,cgroup-v1-container-visible,50.000000
