run_id,trial_id,scenario,task_id,timestamp,cpu_usage_nanos,memory_usage_bytes,error
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r01,S4-AWS-1-CONTROL,19c7928974ed4166b254fcce1564422a,2026-09-08T14:54:08.431433036Z,1276281609,59822080,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-1-CONTROL-r01,S4-AWS-1-CONTROL,19c7928974ed4166b254fcce1564422a,2026-09-08T14:54:08.45379959Z,1291695991,59822080,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:08.934921712Z,145276035,9244672,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:08.985781089Z,146019092,9330688,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.036133395Z,146375384,9347072,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.085596843Z,149443473,9715712,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.135596366Z,194216253,15958016,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.222331164Z,287984344,21651456,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.235515666Z,308474053,21979136,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.286139761Z,314458751,21979136,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.336046984Z,359983408,45793280,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.386397115Z,414185091,79609856,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.435725719Z,460546913,79609856,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.486024604Z,510917227,79609856,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.536339978Z,557842898,79765504,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.58559427Z,611511276,100737024,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.635892222Z,663658190,136724480,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.686205082Z,714340355,144900096,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.736493641Z,761096301,144900096,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.785813095Z,811536049,145424384,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.836115278Z,861799925,145686528,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.886445365Z,912336851,145686528,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.935738869Z,962698891,146210816,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:09.986128518Z,1013141656,146210816,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:10.036478089Z,1052735954,146472960,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:10.085845762Z,1102948806,146472960,
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-2-r01,S4-AWS-2,02965b9adc1b4594a369a885d85b87a3,2026-09-08T14:54:10.136145504Z,1154906504,147509248,
