run_id,trial_id,scenario,actor,task_id,operation,result,requests,bytes
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,derivative_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,original_get,success,1,4075024
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,original_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,conditional_put,created,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,conditional_put,existing,1,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,conditional_put,conflict,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,conditional_put,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,conditional_put,attempt_bytes,0,67940
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,derivative_get,hit,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,derivative_get,miss,26,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,derivative_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,original_get,success,1,4075024
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,original_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,conditional_put,created,1,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,conditional_put,existing,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,conditional_put,conflict,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,conditional_put,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,7d2442d248464707a35dc83c0a8489f6,conditional_put,attempt_bytes,0,67940
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,derivative_get,hit,1,67940
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,derivative_get,miss,25,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,derivative_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,original_get,success,1,4075024
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,original_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,conditional_put,created,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,conditional_put,existing,1,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,conditional_put,conflict,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,conditional_put,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,b971842de91943808ec3bbb899e282d1,conditional_put,attempt_bytes,0,67940
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,derivative_get,hit,1,67940
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,derivative_get,miss,26,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,derivative_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,original_get,success,1,4075024
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,original_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,conditional_put,created,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,conditional_put,existing,1,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,conditional_put,conflict,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,conditional_put,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,media-service,fdc782ff6e304ef5951f52985b40078d,conditional_put,attempt_bytes,0,67940
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,load-generator,,delete_object,success,1,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,load-generator,,head_object,missing,1,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r01,S4-AWS-4,load-generator,,get_object,success,1,67940
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,derivative_get,hit,1,67940
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,derivative_get,miss,26,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,derivative_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,original_get,success,1,4075024
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,original_get,error,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,conditional_put,created,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,conditional_put,existing,1,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,conditional_put,conflict,0,0
retained-ad80a58dee07,retained-ad80a58dee07-S4-AWS-4-r02,S4-AWS-4,media-service,050220889959489bb6e4f9bfb1fc0f12,conditional_put,error,0,0
