mode,stream,trials,p50_mean_ms,p95_mean_ms,p99_mean_ms,error_rate_mean,shed_rate_mean,p99_delta_vs_baseline_ms
baseline,hit,1,0.368,0.631,19.434,0.000000,0.000000,0.000
baseline,healthy-miss,1,548.873,622.999,633.798,0.000000,0.000000,0.000
