mode,fault,trials,peak_cgroup_memory_mean_bytes,peak_cgroup_memory_max_bytes,max_original_bytes_inflight_mean,max_original_bytes_inflight_max,max_transform_waiting_mean,max_transform_waiting_max,cpu_time_mean_ms,poisoned_fault_error_rate_mean,poisoned_fault_p99_mean_ms,transform_timeout_mean,transform_shed_mean,kill_switch_rejected_mean,fault_injections_mean,healthy_miss_fault_http500_mean
baseline,none,0,0.000,0,0.000,0,0.000,0,0.000,0.000000,0.000,0.000,0.000,0.000,0.000,0.000
baseline,transform-timeout,1,0.000,0,138550816.000,138550816,30.000,30,0.000,0.966667,24509.857,126.000,0.000,0.000,53.000,7.000
