scenario,mode,concurrency,valid_trials,invalid_trials,transform_attempts_mean,transform_attempts_min,transform_attempts_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,error_rate_mean,cpu_time_mean_ms,peak_cgroup_memory_mean_bytes
F1,process-singleflight,10,1,0,2.000000,2,2,202.853976,203.048624,203.048624,0.909091,16.305000,149716992.000000
S0,none,1,10,0,1.000000,1,1,328.295524,328.295524,328.295524,0.000000,327.107700,219201945.600000
S1-10,none,10,10,0,10.000000,10,10,2504.094736,3244.085615,3244.085615,0.000000,3274.104000,731314585.600000
S1-100,none,100,9,1,100.000000,100,100,16662.457480,30802.265962,31846.819025,0.000000,31957.894333,1428877767.111111
S1-50,none,50,10,0,50.000000,50,50,8850.871046,15421.762892,15941.446197,0.000000,16020.268500,1159924121.600000
S2-10,process-singleflight,10,10,0,1.000000,1,1,324.493729,324.588214,324.588214,0.000000,326.800800,222531584.000000
S2-100,process-singleflight,100,10,0,1.000000,1,1,335.688455,354.877313,355.785906,0.000000,351.462700,229259264.000000
S2-50,process-singleflight,50,10,0,1.000000,1,1,345.696748,350.034920,350.177764,0.000000,338.620100,227521740.800000
