run_id,trial_id,mode,fault,repetition,valid,invalid_reason,started_at,finished_at,total_requests,success_requests,error_requests,shed_requests,kill_switch_requests,saturated_requests,fault_on_offset_ms,fault_off_offset_ms,kill_switch_on_offset_ms,kill_switch_off_offset_ms,derivative_hits,derivative_misses,transform_success,transform_error,transform_timeout,transform_shed,kill_switch_rejected,fault_injections,max_transform_waiting,max_original_bytes_inflight,cpu_time_ms,peak_rss_bytes,peak_cgroup_memory_bytes,hit_normal_p99_ms,hit_fault_p99_ms,hit_recovery_p99_ms,hit_fault_errors,hit_fault_requests,miss_normal_p99_ms,miss_fault_p99_ms,miss_recovery_p99_ms,miss_fault_errors,miss_fault_requests,poisoned_fault_errors,poisoned_fault_requests
calib-d-faults,bounded-wait-slow-transform-r01,bounded-wait,slow-transform,1,true,,2026-09-11T12:22:01.958358323Z,2026-09-11T12:24:48.645429346Z,3220,3153,67,67,0,0,30001.129,90000.151,-1.000,-1.000,2997,223,156,0,0,67,0,16,4,16300096,50475.239,727891968,707973120,3.646,0.835,15.184,0,1200,711.917,2001.201,1179.294,23,30,44,60
calib-d-faults,kill-switch-slow-transform-r01,kill-switch,slow-transform,1,true,,2026-09-11T12:24:49.684745893Z,2026-09-11T12:27:36.359083767Z,3222,3131,91,0,75,0,30001.096,90000.695,50001.043,100010.560,2999,223,132,0,16,0,75,20,18,89650528,44016.633,800661504,779718656,24.931,0.654,20.582,0,1200,736.505,17289.143,658.519,20,30,56,60
calib-d-faults,baseline-slow-transform-r01,baseline,slow-transform,1,true,,2026-09-11T12:27:37.444276737Z,2026-09-11T12:30:24.111311311Z,3222,3182,40,0,0,0,30000.801,90000.594,-1.000,-1.000,2999,223,183,0,40,0,0,44,25,118175696,57050.829,1143771136,1126137856,1.079,1.648,38.391,0,1200,551.970,17290.662,7044.088,0,30,40,60
calib-d-faults,kill-switch-transform-error-r01,kill-switch,transform-error,1,true,,2026-09-11T12:30:25.168621732Z,2026-09-11T12:33:11.856861131Z,3222,3127,95,0,75,0,30000.363,90000.138,50000.597,100000.568,2999,223,128,20,0,0,75,20,0,0,40315.103,855384064,837898240,1.054,0.962,19.561,0,1200,583.927,290.846,591.367,20,30,60,60
calib-d-faults,baseline-transform-error-r01,baseline,transform-error,1,true,,2026-09-11T12:33:13.061434843Z,2026-09-11T12:35:59.726707884Z,3222,3162,60,0,0,0,30000.435,90000.535,-1.000,-1.000,2999,223,163,60,0,0,0,60,0,0,51340.604,850903040,836104192,19.963,1.249,25.854,0,1200,611.029,298.122,583.889,0,30,60,60
calib-d-faults,bounded-wait-transform-error-r01,bounded-wait,transform-error,1,true,,2026-09-11T12:36:00.78421626Z,2026-09-11T12:38:47.459810263Z,3222,3162,60,0,0,0,30000.738,90000.799,-1.000,-1.000,2999,223,163,60,0,0,0,60,0,0,52136.803,852144128,838164480,1.334,1.359,17.534,0,1200,557.261,301.335,560.575,0,30,60,60
calib-d-faults,baseline-slow-original-r01,baseline,slow-original,1,true,,2026-09-11T12:38:51.929062589Z,2026-09-11T12:41:38.606658891Z,3222,3222,0,0,0,0,30001.021,90000.771,-1.000,-1.000,2999,223,223,0,0,0,0,60,0,0,69689.638,906575872,893972480,20.161,1.623,19.991,0,1200,591.273,592.541,889.269,0,30,0,60
calib-d-faults,bounded-wait-slow-original-r01,bounded-wait,slow-original,1,true,,2026-09-11T12:41:39.667996088Z,2026-09-11T12:44:26.34423736Z,3220,3150,70,70,0,0,30001.133,90001.043,-1.000,-1.000,2997,223,153,0,0,70,0,16,3,8150048,48493.871,906649600,887779328,1.915,0.636,19.052,0,1200,556.734,2002.117,1063.461,26,30,44,60
calib-d-faults,kill-switch-slow-original-r01,kill-switch,slow-original,1,true,,2026-09-11T12:44:27.41617722Z,2026-09-11T12:47:14.091592355Z,3222,3147,75,0,75,0,30000.099,90001.136,50000.090,100000.083,2999,223,148,0,0,0,75,20,0,0,46781.367,862068736,843993088,45.325,0.730,45.507,0,1200,556.703,552.617,554.698,20,30,40,60
