scenario,mode,concurrency,valid_trials,invalid_trials,transform_attempts_mean,transform_attempts_min,transform_attempts_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,error_rate_mean,cpu_time_mean_ms,peak_cgroup_memory_mean_bytes
F1,process-singleflight,10,1,0,2.000000,2,2,202.569112,202.736217,202.736217,0.909091,15.251000,52174848.000000
S0,none,1,1,0,1.000000,1,1,315.374180,315.374180,315.374180,0.000000,316.352000,162373632.000000
S1-10,none,10,1,0,10.000000,10,10,2546.979745,3249.002976,3249.002976,0.000000,3290.209000,664440832.000000
S1-100,none,100,1,0,100.000000,100,100,16281.569444,30284.519851,31290.152888,0.000000,31363.480000,1388523520.000000
S1-50,none,50,1,0,50.000000,50,50,8706.920491,14998.143295,15716.745101,0.000000,15762.759000,1106071552.000000
S2-10,process-singleflight,10,1,0,1.000000,1,1,325.127613,325.279709,325.279709,0.000000,314.590000,162824192.000000
S2-100,process-singleflight,100,1,0,1.000000,1,1,361.430983,365.659152,365.824887,0.000000,340.926000,166100992.000000
S2-50,process-singleflight,50,1,0,1.000000,1,1,322.747606,324.498569,324.594237,0.000000,327.901000,161378304.000000
