mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,none,hit,normal,1,598.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.394,14.851,42.940,42.940,42.940,46.794
baseline,none,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.376,41.607,42.583,42.583,42.583,46.724
baseline,none,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.368,1.307,42.219,42.219,42.219,42.620
baseline,none,healthy-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,556.896,2355.027,2364.354,2364.354,2364.354,2450.254
baseline,none,healthy-miss,fault,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2446.008,3248.340,3658.010,3658.010,3658.010,3744.023
baseline,none,healthy-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,551.585,1247.184,1450.610,1450.610,1450.610,1456.634
baseline,none,poisoned-miss,normal,1,59.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,552.783,2259.974,2302.355,2302.355,2302.355,2460.935
baseline,none,poisoned-miss,fault,1,120.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2359.174,3360.511,3644.586,3644.586,3644.586,3671.720
baseline,none,poisoned-miss,recovery,1,120.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,505.962,1154.193,1353.314,1353.314,1353.314,1762.423
