mode,stream,trials,p50_mean_ms,p95_mean_ms,p99_mean_ms,error_rate_mean,shed_rate_mean,p99_delta_vs_baseline_ms
baseline,hit,1,0.375,7.524,42.439,0.000000,0.000000,0.000
baseline,healthy-miss,1,967.452,2954.846,3359.775,0.000000,0.000000,0.000
