mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,slow-transform,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.213333,0.200000,0.233333,580.618,6238.248,7181.851,6904.417,7306.427,8277.952
baseline,slow-transform,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.673,580.938,582.446,556.745,601.703,586.240
baseline,slow-transform,poisoned-miss,fault,5,60.000,0.333333,0.666667,0.000000,0.000000,0.666667,0.666667,0.666667,20000.567,20001.818,20002.783,20002.009,20004.416,20008.916
baseline,slow-transform,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,564.349,6716.006,7978.084,7664.979,8287.806,8316.231
bounded-wait,slow-transform,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.350,0.493,8.234,1.043,19.408,32.642
bounded-wait,slow-transform,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.336,0.449,0.621,0.470,1.045,5.478
bounded-wait,slow-transform,hit,recovery,5,1199.800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.353,0.536,28.338,17.809,41.588,33.505
bounded-wait,slow-transform,healthy-miss,normal,5,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,550.526,570.747,570.747,552.950,591.367,574.996
bounded-wait,slow-transform,healthy-miss,fault,5,30.000,0.160000,0.840000,0.840000,0.000000,0.880000,0.833333,0.933333,2000.546,2001.125,2001.187,2001.113,2001.323,2031.844
bounded-wait,slow-transform,healthy-miss,recovery,5,30.000,1.000000,0.000000,0.000000,0.000000,0.006667,0.000000,0.033333,563.323,753.660,1355.113,1023.511,1690.157,1767.107
bounded-wait,slow-transform,poisoned-miss,normal,5,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,296.194,566.591,567.787,550.880,592.511,569.603
bounded-wait,slow-transform,poisoned-miss,fault,5,60.000,0.266667,0.733333,0.733333,0.000000,0.733333,0.733333,0.733333,2000.821,16988.641,17212.494,17152.360,17425.600,17225.034
bounded-wait,slow-transform,poisoned-miss,recovery,5,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,521.300,834.461,1568.543,1231.893,1887.085,1974.146
kill-switch,slow-transform,hit,normal,5,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.351,0.493,11.802,1.064,26.325,26.106
kill-switch,slow-transform,hit,fault,5,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.343,0.463,0.571,0.534,0.633,4.539
kill-switch,slow-transform,hit,recovery,5,1199.800,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.347,0.491,16.277,10.938,20.065,25.901
