scenario,mode,concurrency,valid_trials,invalid_trials,transform_attempts_mean,transform_attempts_min,transform_attempts_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,error_rate_mean,cpu_time_mean_ms,peak_cgroup_memory_mean_bytes
F1,process-singleflight,10,1,0,2.000000,2,2,202.463233,202.534176,202.534176,0.909091,14.409000,61341696.000000
S0,none,1,2,0,1.000000,1,1,313.928858,313.928858,313.928858,0.000000,315.213000,161988608.000000
S1-10,none,10,2,0,10.000000,10,10,2446.493099,3169.689763,3169.689763,0.000000,3227.472500,642455552.000000
S1-100,none,100,1,1,100.000000,100,100,16305.619600,30260.084572,31270.438632,0.000000,31445.849000,1287204864.000000
S1-50,none,50,2,0,50.000000,50,50,8464.823484,15360.911320,15677.290217,0.000000,15760.847500,1082542080.000000
S2-10,process-singleflight,10,2,0,1.000000,1,1,316.339668,316.421410,316.421410,0.000000,320.936500,158590976.000000
S2-100,process-singleflight,100,0,2,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S2-50,process-singleflight,50,2,0,1.000000,1,1,337.052395,338.741512,338.842249,0.000000,330.713000,160866304.000000
