"Service","Elastic Container Service($)","Elastic Load Balancing($)","VPC($)","S3($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","Glue($)","Key Management Service($)","CloudWatch($)","Total costs($)"
"Service total","0.4802010774","0.1416824209","0.048395875","0.007294256","0.0000422309","0.000005","0","0","0","0.6776208602"
"2026-09-08","0.4802010774","0.1416824209","0.048395875","0.007294256","0.0000422309","0.000005","0","0","0","0.6776208602"
