mode,fault,trials,peak_cgroup_memory_mean_bytes,peak_cgroup_memory_max_bytes,max_original_bytes_inflight_mean,max_original_bytes_inflight_max,max_transform_waiting_mean,max_transform_waiting_max,cpu_time_mean_ms,poisoned_fault_error_rate_mean,poisoned_fault_p99_mean_ms,transform_timeout_mean,transform_shed_mean,kill_switch_rejected_mean,fault_injections_mean,healthy_miss_fault_http500_mean
baseline,slow-transform,1,1126137856.000,1126137856,118175696.000,118175696,25.000,25,57050.829,0.666667,20038.282,40.000,0.000,0.000,44.000,0.000
bounded-wait,slow-transform,1,707973120.000,707973120,16300096.000,16300096,4.000,4,50475.239,0.733333,17362.063,0.000,67.000,0.000,16.000,0.000
kill-switch,slow-transform,1,779718656.000,779718656,89650528.000,89650528,18.000,18,44016.633,0.933333,20001.146,16.000,0.000,75.000,20.000,0.000
baseline,transform-error,1,836104192.000,836104192,0.000,0,0.000,0,51340.604,1.000000,2.822,0.000,0.000,0.000,60.000,0.000
bounded-wait,transform-error,1,838164480.000,838164480,0.000,0,0.000,0,52136.803,1.000000,2.961,0.000,0.000,0.000,60.000,0.000
kill-switch,transform-error,1,837898240.000,837898240,0.000,0,0.000,0,40315.103,1.000000,2.370,0.000,0.000,75.000,20.000,0.000
baseline,slow-original,1,893972480.000,893972480,0.000,0,0.000,0,69689.638,0.000000,15893.758,0.000,0.000,0.000,60.000,0.000
bounded-wait,slow-original,1,887779328.000,887779328,8150048.000,8150048,3.000,3,48493.871,0.733333,16940.152,0.000,70.000,0.000,16.000,0.000
kill-switch,slow-original,1,843993088.000,843993088,0.000,0,0.000,0,46781.367,0.666667,15482.268,0.000,0.000,75.000,20.000,0.000
