run_id,trial_id,timestamp,elapsed_ms,cpu_usage_usec,rss_bytes,cgroup_memory_bytes
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.870700946Z,0.061754,271027,59015168,44507136
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.881048855Z,10.409664,279954,91127808,76382208
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.891268469Z,20.629276,292811,114294784,99450880
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.90147825Z,30.839058,301503,114294784,99352576
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.911742642Z,41.103450,314481,114294784,99352576
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.920910296Z,50.271104,318879,114294784,99352576
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.931081893Z,60.442701,329802,114294784,99352576
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.941305517Z,70.666324,338434,114294784,99352576
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.951534446Z,80.895252,351373,114294784,99352576
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.961790845Z,91.151653,360197,114294784,99352576
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.970994982Z,100.355790,373094,114294784,99352576
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.981214193Z,110.575001,381748,114294784,99352576
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:47.991416654Z,120.777461,394822,127139840,112459776
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.001617343Z,130.978158,403772,145260544,130547712
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.011807588Z,141.168395,416865,159481856,144965632
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.020980571Z,150.341377,422079,163610624,149159936
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.031283391Z,160.644199,432344,172326912,157810688
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.041545733Z,170.906541,441188,172326912,157810688
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.051840712Z,181.201520,454322,172326912,158072832
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.061133654Z,190.494461,463151,172785664,158334976
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.071378465Z,200.739272,476125,172785664,158334976
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.081612119Z,210.972928,484877,172785664,158334976
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.091840386Z,221.201192,497927,173244416,158597120
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.101079546Z,230.440353,506557,173244416,158597120
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.11127296Z,240.633767,519413,173473792,159121408
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.121475874Z,250.836681,519630,173473792,159383552
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.131711218Z,261.072025,530743,173473792,159383552
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.141021951Z,270.382758,539500,173473792,159383552
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.151269838Z,280.630645,552437,173932544,159903744
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.161515498Z,290.876306,561162,174161920,159903744
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.171667717Z,301.028519,574586,175538176,161738752
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.180843184Z,310.203986,583198,175767552,161738752
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.190997155Z,320.357961,596028,175767552,161738752
retained-supplement-20260902-68135d3ad33f-01,S0-r01,2026-09-02T01:44:48.196377115Z,325.737925,599881,128020480,113741824
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.433573535Z,0.071308,821371,58982400,44584960
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.443943143Z,10.440911,832213,91783168,76566528
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.454113705Z,20.611478,845136,115179520,100417536
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.464349393Z,30.847166,853870,115179520,100212736
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.474534849Z,41.032622,867040,115179520,100474880
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.483691289Z,50.189068,875678,115179520,100474880
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.494001115Z,60.498889,884366,115179520,100474880
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.504150961Z,70.648733,897516,115179520,100478976
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.514425442Z,80.923215,910589,115179520,100478976
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.524663892Z,91.161666,913111,115179520,100478976
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.533851382Z,100.349155,921816,115179520,100478976
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.543999124Z,110.496898,934772,115179520,100478976
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.55430659Z,120.804363,947981,127336448,113057792
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.56456599Z,131.063763,957019,144539648,130359296
retained-supplement-20260902-68135d3ad33f-01,S2-10-r01,2026-09-02T01:44:48.573803359Z,140.301132,966025,160366592,146350080
