run_id,trial_id,scenario,request_id,image_key,task_id,started_at,finished_at,latency_ms,http_status,response_sha256,error_type,coalesced,cache
retained-supplement-20260902-68135d3ad33f-01,S1-10-r01,S1-10,request-004,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:48.989019219Z,2026-09-02T01:44:51.635021108Z,2646.001891,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-10-r01,S1-10,request-005,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:48.989001129Z,2026-09-02T01:44:51.636494894Z,2647.493770,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-10-r01,S1-10,request-006,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:48.988970175Z,2026-09-02T01:44:51.635813227Z,2646.843059,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-10-r01,S1-10,request-007,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:48.988953402Z,2026-09-02T01:44:50.330799353Z,1341.845958,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-10-r01,S1-10,request-008,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:48.988930145Z,2026-09-02T01:44:52.246986851Z,3258.056713,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-10-r01,S1-10,request-009,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:48.988906871Z,2026-09-02T01:44:50.337001728Z,1348.094863,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-10-r01,S1-10,request-010,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:48.989115091Z,2026-09-02T01:44:50.239150352Z,1250.035262,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-001,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635223297Z,2026-09-02T01:45:09.917952663Z,15513.567913,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-002,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635180947Z,2026-09-02T01:44:55.33082573Z,2695.644779,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-003,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635833639Z,2026-09-02T01:45:08.798017041Z,14393.021952,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-004,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635813909Z,2026-09-02T01:45:05.136792139Z,12500.978237,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-005,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635787185Z,2026-09-02T01:45:09.300465452Z,14895.516812,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-006,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635764364Z,2026-09-02T01:45:03.93538905Z,11299.624686,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-007,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.63573154Z,2026-09-02T01:45:03.231227151Z,10595.495611,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-008,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635698535Z,2026-09-02T01:45:08.102441441Z,13697.581455,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-009,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635678351Z,2026-09-02T01:45:02.630785358Z,9995.107010,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-010,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635657157Z,2026-09-02T01:45:01.532001993Z,8896.344842,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-011,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635637095Z,2026-09-02T01:45:00.624749041Z,7989.111948,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-012,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635617747Z,2026-09-02T01:45:00.238587208Z,7602.969469,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-013,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635588733Z,2026-09-02T01:45:08.211610157Z,13806.859984,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-014,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635567278Z,2026-09-02T01:45:08.298670266Z,13893.941532,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
retained-supplement-20260902-68135d3ad33f-01,S1-50-r01,S1-50,request-015,d4745ce8b0076d85ef4bad6643512dad50425d8f61a49108664596ff785caf3e,0eaeea43f7f8,2026-09-02T01:44:52.635542305Z,2026-09-02T01:44:54.02734754Z,1391.805240,200,fa5bbaa12602c6803fc911cd560f3cd567585f7b4703499b433ac2343ab380c5,,false,miss
