mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
baseline,transform-timeout,poisoned-miss,recovery,2,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2284.726,7188.273,7922.744,7618.217,8227.271,9038.104
bounded-wait,transform-timeout,hit,normal,2,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.315,62.203,62.730,53.475,71.984,73.939
bounded-wait,transform-timeout,hit,fault,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.659,30.121,43.806,36.404,51.209,53.465
bounded-wait,transform-timeout,hit,recovery,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,26.956,62.425,74.826,72.064,77.588,114.258
bounded-wait,transform-timeout,healthy-miss,normal,2,5.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2321.852,2338.298,2338.298,2324.298,2352.298,2363.940
bounded-wait,transform-timeout,healthy-miss,fault,2,12.000,0.375000,0.625000,0.625000,0.000000,0.625000,0.583333,0.666667,2020.946,2039.486,2039.486,2028.775,2050.196,2051.501
bounded-wait,transform-timeout,healthy-miss,recovery,2,12.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2262.166,2340.253,2340.253,2337.326,2343.179,2380.032
bounded-wait,transform-timeout,poisoned-miss,normal,2,11.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,919.744,2367.095,2367.095,2336.213,2397.976,2388.749
bounded-wait,transform-timeout,poisoned-miss,fault,2,24.000,0.000000,1.000000,0.500000,0.000000,1.000000,1.000000,1.000000,2042.289,20016.118,20021.553,20018.605,20024.501,20030.364
bounded-wait,transform-timeout,poisoned-miss,recovery,2,24.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,926.662,2328.068,2362.136,2329.654,2394.617,2394.234
kill-switch,transform-timeout,hit,normal,2,149.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.766,30.069,44.683,38.562,50.804,77.351
kill-switch,transform-timeout,hit,fault,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.427,28.818,44.200,40.952,47.449,71.634
kill-switch,transform-timeout,hit,recovery,2,300.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.251,29.256,36.401,30.713,42.089,47.508
kill-switch,transform-timeout,healthy-miss,normal,2,5.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2272.499,2322.262,2322.262,2289.799,2354.726,2336.889
