mode,fault,stream,phase,trials,requests_mean,success_rate_mean,error_rate_mean,shed_rate_mean,kill_switch_rate_mean,affected_rate_mean,affected_rate_min,affected_rate_max,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,max_mean_ms
bounded-wait,transform-timeout,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.396,0.599,1.134,1.134,1.134,43.486
bounded-wait,transform-timeout,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.388,0.512,0.658,0.658,0.658,2.397
bounded-wait,transform-timeout,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.384,0.599,43.094,43.094,43.094,43.864
bounded-wait,transform-timeout,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,554.912,561.164,561.164,561.164,561.164,574.747
bounded-wait,transform-timeout,healthy-miss,fault,1,30.000,0.166667,0.833333,0.833333,0.000000,0.866667,0.866667,0.866667,2000.430,2001.191,2001.320,2001.320,2001.320,2293.873
bounded-wait,transform-timeout,healthy-miss,recovery,1,30.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,548.772,562.059,567.690,567.690,567.690,897.655
bounded-wait,transform-timeout,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,318.782,559.130,576.567,576.567,576.567,577.271
bounded-wait,transform-timeout,poisoned-miss,fault,1,60.000,0.016667,0.983333,0.750000,0.000000,0.983333,0.983333,0.983333,2000.824,20001.542,20002.817,20002.817,20002.817,20019.795
bounded-wait,transform-timeout,poisoned-miss,recovery,1,60.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301.775,560.429,564.529,564.529,564.529,595.784
kill-switch,transform-timeout,hit,normal,1,599.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.381,0.591,20.479,20.479,20.479,45.897
kill-switch,transform-timeout,hit,fault,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386,0.547,0.648,0.648,0.648,1.076
kill-switch,transform-timeout,hit,recovery,1,1200.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.386,0.602,20.052,20.052,20.052,45.802
kill-switch,transform-timeout,healthy-miss,normal,1,14.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,599.113,616.553,616.553,616.553,616.553,616.598
kill-switch,transform-timeout,healthy-miss,fault,1,30.000,0.333333,0.666667,0.000000,0.666667,0.933333,0.933333,0.933333,0.215,17300.250,17304.986,17304.986,17304.986,17305.216
kill-switch,transform-timeout,healthy-miss,recovery,1,30.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,598.815,611.699,612.535,612.535,612.535,619.663
kill-switch,transform-timeout,poisoned-miss,normal,1,29.000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,306.950,604.108,613.922,613.922,613.922,621.058
kill-switch,transform-timeout,poisoned-miss,fault,1,60.000,0.000000,1.000000,0.000000,0.666667,1.000000,1.000000,1.000000,0.279,20001.152,20001.191,20001.191,20001.191,20014.894
kill-switch,transform-timeout,poisoned-miss,recovery,1,60.000,0.833333,0.166667,0.000000,0.166667,0.166667,0.166667,0.166667,299.308,613.910,618.052,618.052,618.052,639.426
