run_id,trial_id,timestamp,elapsed_ms,cpu_usage_usec,rss_bytes,cgroup_memory_bytes
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.57167123Z,200.753115,983499,175210496,160202752
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.5818782Z,210.960085,997074,175669248,160464896
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.591026625Z,220.108510,997254,175669248,160464896
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.60115976Z,230.241645,1009298,175669248,160206848
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.611376584Z,240.458469,1018398,175669248,160464896
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.621546595Z,250.628482,1031922,175898624,160989184
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.6317327Z,260.814585,1040985,175898624,160989184
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.641913106Z,270.994991,1054548,176357376,161251328
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.651138466Z,280.220351,1063656,176357376,161251328
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.661279128Z,290.361008,1077651,177733632,162824192
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.671469691Z,300.551576,1086706,177733632,162824192
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.681631635Z,310.713521,1095789,177733632,162824192
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.69183989Z,320.921775,1095984,177733632,162824192
calibration-20260902-g,S2-10-r01,2026-09-01T15:49:00.696505755Z,325.587640,1102051,129748992,114651136
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.05286068Z,0.096661,1319746,59473920,45162496
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.06331569Z,10.551657,1349736,139067392,127119360
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.073519878Z,20.755850,1367568,155811840,143896576
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.08374715Z,30.983122,1367716,155811840,143896576
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.093910789Z,41.146761,1379798,203522048,190881792
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.103107272Z,50.343244,1415619,283574272,271622144
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.113340766Z,60.576738,1460304,294813696,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.123542677Z,70.778649,1465002,294813696,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.133661564Z,80.897537,1465169,294813696,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.143864067Z,91.100040,1465378,294813696,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.153109322Z,100.345295,1465608,294813696,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.16328581Z,110.521783,1465806,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.190100684Z,137.336679,1466229,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.193381938Z,140.617912,1478415,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.203614578Z,150.850551,1514151,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.213819266Z,161.055238,1558825,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.222977066Z,170.213038,1563425,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.233117194Z,180.353167,1563660,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.243332426Z,190.568399,1563841,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.253536994Z,200.772967,1563986,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.263720741Z,210.956713,1564140,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.273919358Z,221.155330,1564291,295043072,282632192
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.283059409Z,230.295381,1564403,295043072,282894336
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.293295063Z,240.531036,1576333,295043072,282894336
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.303547772Z,250.783745,1612111,295043072,282894336
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.31378339Z,261.019362,1656779,295272448,282894336
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.323998082Z,271.234054,1665838,295272448,282894336
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.333164979Z,280.400952,1665969,295272448,283156480
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.343253391Z,290.489363,1666094,295272448,283156480
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.390074103Z,337.310075,1666516,295272448,283156480
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.393312895Z,340.548868,1678588,295272448,283156480
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.403454382Z,350.690354,1714313,295272448,283156480
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.413559133Z,360.795105,1759015,301694976,289710080
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.423733965Z,370.969938,1763642,301694976,289705984
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.433928885Z,381.164857,1763787,301694976,289705984
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.443117678Z,390.353651,1763916,301694976,289705984
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.453325398Z,400.561370,1764092,301694976,289705984
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.463449822Z,410.685795,1764210,301694976,289517568
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.473590797Z,420.826770,1764387,301694976,289779712
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.483784837Z,431.020810,1764541,301694976,289779712
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.493967191Z,441.203164,1776671,306970624,295284736
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.503177229Z,450.413202,1812726,326008832,314421248
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.513372387Z,460.608359,1857702,352157696,340373504
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.523579213Z,470.815186,1862368,357203968,345616384
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.590096384Z,537.332357,1862650,357433344,345763840
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.59328527Z,540.521242,1875061,370049024,358461440
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.603515041Z,550.751013,1912161,428998656,416919552
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.613689448Z,560.925420,1957835,469598208,458076160
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.623854587Z,571.090560,1962500,473497600,461746176
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.633034059Z,580.270031,1962665,473497600,461651968
calibration-20260902-g,S1-10-r01,2026-09-01T15:49:01.64321049Z,590.446462,1962855,473497600,461914112
