run_id,trial_id,cold_state_id,scenario,mode,repetition,concurrency,valid,invalid_reason,start_skew_ms,total_requests,success_requests,error_requests,transform_attempts,original_reads,publish_created,publish_existing,coalesced_requests,p50_ms,p95_ms,p99_ms,cpu_time_ms,peak_rss_bytes,peak_cgroup_memory_bytes
calibration-20260902-g,S0-r01,S0-r01,S0,none,1,1,true,,0.000000,1,1,0,1,1,1,0,0,315.374180,315.374180,315.374180,316.352000,176685056,162373632
calibration-20260902-g,S2-10-r01,S2-10-r01,S2-10,process-singleflight,1,10,true,,0.194763,10,10,0,1,1,1,0,9,325.127613,325.279709,325.279709,314.590000,177733632,162824192
calibration-20260902-g,S1-10-r01,S1-10-r01,S1-10,none,1,10,true,,0.309720,10,10,0,10,10,1,9,0,2546.979745,3249.002976,3249.002976,3290.209000,675078144,664440832
calibration-20260902-g,S1-50-r01,S1-50-r01,S1-50,none,1,50,true,,0.627508,50,50,0,50,50,1,49,0,8706.920491,14998.143295,15716.745101,15762.759000,1115926528,1106071552
calibration-20260902-g,S2-50-r01,S2-50-r01,S2-50,process-singleflight,1,50,true,,0.640306,50,50,0,1,1,1,0,49,322.747606,324.498569,324.594237,327.901000,171573248,161378304
calibration-20260902-g,S2-100-r01,S2-100-r01,S2-100,process-singleflight,1,100,true,,38.813404,100,100,0,1,1,1,0,99,361.430983,365.659152,365.824887,340.926000,175603712,166100992
calibration-20260902-g,S1-100-r01,S1-100-r01,S1-100,none,1,100,true,,21.035139,100,100,0,100,100,1,99,0,16281.569444,30284.519851,31290.152888,31363.480000,1397350400,1388523520
calibration-20260902-g,F1-r01,F1-r01,F1,process-singleflight,1,10,true,,0.235836,11,1,10,2,2,1,0,9,202.569112,202.736217,202.736217,15.251000,66547712,52174848
